group_name,n_user_recommend,group_slug,last_recommended
Not my President,3,470886057229620,2021-04-07
Not My President Georgia,2,509273715901450,2021-04-20
Not My President,2,notmypresidentst,2021-03-23
Joe Biden is not my president,1,2692682587708533,2021-03-17
Not my America Not my President,1,362612551727267,2021-04-09
Joe Biden IS NOT MY PRESIDENT!,1,223046025988848,2021-03-23
Joe Biden is not MY President,1,402719181046442,2021-04-29
Trumplicans President Trump Still my President,1,404240227452424,2021-03-21
# NOT MY PRESIDENT,1,1067684783666492,2021-03-22
Biden Is Not My President,1,724404958189791,2021-03-18
Joe Biden Is Not My President,1,835516037021414,2021-03-24
Joe Biden is not my President,1,148838383701907,2021-03-17
Joe Biden is Not My President,1,340076620404839,2021-03-19
Joe Biden is not my President!,1,1740403216121074,2021-03-24
Joe Biden is not my president,1,865098554226294,2021-03-23
