group_name,n_user_recommend,last_recommended,group_slug,is_political
Disapproving Corgis,1042,2021-06-01,555989291132852,FALSE
The Far Side,1039,2021-05-10,1745254632988727,FALSE
The Marriage Club,916,2021-06-01,themarriage,FALSE
"DIY,Ideas,Projects,Crafts and more",895,2021-06-01,diycrafters,FALSE
Weird (and Wonderful) Secondhand Finds That Just Need To Be Shared,854,2021-05-31,WeirdSecondhandFinds,FALSE
Instant Pot Community,762,2021-06-01,InstantPotCommunity,FALSE
Cool Dog Group,737,2021-05-31,cooldogpictures,FALSE
Canine Enrichment,658,2021-05-31,canineenrichment,FALSE
The Raw Feeding Community,624,2021-05-11,preymodeldiet,FALSE
Big Hecking Group of Dang Doggos [Official],611,2021-05-11,DangDoggos,FALSE
Pittie Nation,604,2021-06-01,105111927011457,FALSE
Raw feeding advice and support (PMR),597,2021-05-04,451782265003776,FALSE
Air Fryer Tips and Recipes,564,2021-06-01,1522233111383384,FALSE
Cheap Meal Ideas,564,2021-06-01,cheapmealideas,FALSE
Positive Quotes,555,2021-04-28,vibeswithquotes,FALSE
Dad Jokes Everywhere,541,2021-04-18,1270525996445602,FALSE
Kitty Mania💖,532,2021-06-01,754764812023482,FALSE
80s/90s/ Early 2000s Nostalgia Haven,512,2021-05-31,havenfornostalgia,FALSE
The Potentially Inappropriate Memebrary for Historians and Literaries,511,2021-06-01,402704677728912,FALSE
Good Old Days,505,2021-06-01,goodoldday,FALSE
Cast Iron Cooking,479,2021-06-01,castironskillet,FALSE
The New York Times Cooking Community,468,2021-06-01,nytcooks,FALSE
Milk Street Community,452,2021-06-01,177milkstreet,FALSE
UNAPPRECIATED PUNS,438,2021-05-25,736575127094740,FALSE
Deep Thoughts by Jack Handey,430,2021-05-06,deepthoughtsbyjackhandey,FALSE
The Absurd Sign Project,411,2021-05-08,absurdsignproject,FALSE
We Love  Pit Bulls The Original Group,410,2021-05-31,mudder2010,FALSE
Golden Retriever Club,410,2021-06-01,thegoldenscom,FALSE
"Primer & Rust, Rats & Rods",406,2021-05-31,413512055514755,FALSE
Doggy Memes & Videos,402,2021-05-20,298677437407106,FALSE
ALDI Aisle of Shame Community,402,2021-06-01,aldiaisleofshame,FALSE
Feisty Soul Tribe ~ The Group,399,2021-06-01,1162197647167305,FALSE
Dog Training Advice and Support,393,2021-05-31,374160792599484,FALSE
Creative Gardening,390,2021-04-18,creativegardening1,FALSE
"80s Commercials, trailers, toys and more...",383,2021-05-26,us80s,FALSE
Air Fryer Recipes,381,2021-06-01,AirFryerEatsRecipes,FALSE
Just For Jokes,374,2021-06-01,justforjokesgroup,FALSE
Cheap Cars for Sale by Owner,373,2021-05-31,CheapCarsforSalebyOwner,FALSE
Empire of Chonkin Fatass Woofers,372,2021-06-01,boofinfatasswoofers,FALSE
Star Trek Memes,365,2021-04-28,337634486811277,FALSE
Calvin and Hobbes Ride Again,365,2021-05-31,1951125591822299,FALSE
Love Quotes for You,363,2021-04-17,777538742408455,FALSE
So in Love,362,2021-04-17,947903761936913,FALSE
Doggo,362,2021-06-01,209944383373686,FALSE
The Far Side,362,2021-06-01,franksthefarside,FALSE
Gifs Society,358,2021-05-23,481569016568514,FALSE
National Park Service (Fan Page),357,2021-06-01,National.Park.Service,FALSE
The Relationship Quotes,354,2021-04-17,181478352675525,FALSE
Instant Pot 101 for Beginners,352,2021-06-01,InstantPot101forBeginners,FALSE
Field and Barn Finds-Classic Cars/Trucks For Sale or Trade,352,2021-06-01,fieldandbarnfinds,FALSE
subtle asian traits,345,2021-06-01,1343933772408499,FALSE
Instant Pot Recipes Only,345,2021-06-01,iproinstantpotrecipesonly,FALSE
Unique Trees,343,2021-06-01,579079902729685,FALSE
Cute couples/romantic quotes,343,2021-04-17,696517170464297,FALSE
Goofy Huskies,342,2021-06-01,goofyhuskies,FALSE
Woofing,340,2021-05-31,1040422223018275,FALSE
Vintage Weird,339,2021-06-01,vintageweird,FALSE
The Dodo,337,2021-06-01,thedodoo,FALSE
Please show to Jim ! ! HA ! ! HA ! !,335,2021-06-01,pleaseshowtojimhaha,FALSE
HBO MAX,335,2021-05-31,177345579535929,FALSE
Funny sarcastic grandma,333,2021-05-31,215813539335011,FALSE
New Cranky Old Women,332,2021-06-01,204543991080933,FALSE
Love Quotes,332,2021-04-17,dailybestquotes,FALSE
Amazing World,329,2021-04-28,AmazingAnimalsAndBeautifulNature,FALSE
Friends Who Like Anderson Cooper 360,328,2021-05-19,1.14771E+15,FALSE
Hobby Lobby Fanatics,324,2021-06-01,1635984239859455,FALSE
NYTimes Spelling Bee,323,2021-06-01,433058764164987,FALSE
“Mexican Recipes To Learn & Share”,322,2021-06-01,552516308123350,FALSE
LOVERS CLIQ AND INSPIRATIONAL STORIES,321,2021-05-31,allaboutlove247,FALSE
Crafty Fun Group,319,2021-06-01,craftyfungroup,FALSE
Gramma's Funnies,314,2021-06-01,1994994704137821,FALSE
The Far Side,314,2021-06-01,thefarsides,FALSE
Relaxing Mood,308,2021-06-01,515023562608045,FALSE
DIY Farmhouse Vintage Shabby Chic (Original),306,2021-06-01,diyfarmhousevintageshabbychic,FALSE
Generation X: The World According To Us.,305,2021-05-31,1980025865375067,FALSE
Official Hungryroot Community Page,304,2021-06-01,hungryroot,FALSE
The Astonishing School Of The Gifted Nerds,302,2021-05-31,661796377266110,FALSE
The Woof Club,300,2021-05-31,TheWoofClub,FALSE
HOUSE UNITED IN PRAYERS FOR JOE BIDEN AND KAMALA HARRIS,299,2021-04-13,342579563786211,TRUE
Laughter Therapy,295,2021-05-03,haelaughtertherapy,FALSE
Elon Musk,294,2021-05-18,ElonMusk,FALSE
growing up in the 1970's,293,2021-06-01,2730717857217556,FALSE
that relationship sounds energizing,292,2021-06-01,howenergizing,FALSE
Extreme Love Group,292,2021-04-17,921620331341198,FALSE
